CLASS,MODEL,MAE,MAPE
Apples,LinReg,61.0106,77.6229
Apples,Lasso,48.8202,77.7575
Apples,Ridge,68.2973,96.2778
Apples,ElasticNet,40.451,67.7431
Onions,LinReg,57.8953,34.7986
Onions,Lasso,37.1111,21.9339
Onions,Ridge,36.0093,22.4052
Onions,ElasticNet,31.6818,21.0197
Pears,LinReg,44.1387,33.4142
Pears,Lasso,7.3946,5.4857
Pears,Ridge,7.4044,5.5065
Pears,ElasticNet,7.3946,5.4857
All Food,LinReg,29.5461,23.2366
All Food,Lasso,33.324,40.41
All Food,Ridge,32.4232,39.4796
All Food,ElasticNet,32.9496,40.6945
